//Numéro,Pokémon,Nom,français,Nom,anglais,Nom,allemand,Nom,japonais
001,001,Bulbizarre,Bulbasaur,Bisasam,フシギダネ,Fushigidane
002,002,Herbizarre,Ivysaur,Bisaknosp,フシギソウ,(Fushigisō),Fushigisou
003,003,Florizarre,Venusaur,Bisaflor,フシギバナ,Fushigibana
004,004,Salamèche,Charmander,Glumanda,ヒトカゲ,Hitokage
005,005,Reptincel,Charmeleon,Glutexo,リザード,(Rizādo),Lizardo
006,006,Dracaufeu,Charizard,Glurak,リザードン,(Rizādon),Lizardon
007,007,Carapuce,Squirtle,Schiggy,ゼニガメ,Zenigame
008,008,Carabaffe,Wartortle,Schillok,カメール,(Kamēru),Kameil
009,009,Tortank,Blastoise,Turtok,カメックス,(Kamekkusu),Kamex
010,010,Chenipan,Caterpie,Raupy,キャタピー,(Kyatapī),Caterpie
011,011,Chrysacier,Metapod,Safcon,トランセル,(Toranseru),Trancell
012,012,Papilusion,Butterfree,Smettbo,バタフリー,(Batafurī),Butterfree
013,013,Aspicot,Weedle,Hornliu,ビードル,(Bīdoru),Beedle
014,014,Coconfort,Kakuna,Kokuna,コクーン,(Kokūn),Cocoon
015,015,Dardargnan,Beedrill,Bibor,スピアー,(Supiā),Spear
016,016,Roucool,Pidgey,Taubsi,ポッポ,Poppo
017,017,Roucoups,Pidgeotto,Tauboga,ピジョン,(Pijon),Pigeon
018,018,Roucarnage,Pidgeot,Tauboss,ピジョット,(Pijotto),Pigeot
019,019,Rattata,Rattata,Rattfratz,コラッタ,Koratta
020,020,Rattatac,Raticate,Rattikarl,ラッタ,Ratta
021,021,Piafabec,Spearow,Habitak,オニスズメ,Onisuzume
022,022,Rapasdepic,Fearow,Ibitak,オニドリル,(Onidoriru),Onidrill

023,023,Abo,Ekans,Rettan,アーボ,(Ābo),Arbo
024,024,Arbok,Arbok,Arbok,アーボック,(Ābokku),Arbok
025,025,Pikachu,Pikachu,Pikachu,ピカチュウ,(Pikachū),Pikachu
026,026,Raichu,Raichu,Raichu,ライチュウ,(Raichū),Raichu
027,027,Sabelette,Sandshrew,Sandan,サンド,(Sando),Sand
028,028,Sablaireau,Sandslash,Sandamer,サンドパン,(Sandopan),Sandpan
029,029,Nidoran♀,Nidoran♀,Nidoran♀,ニドラン♀,Nidoran♀
030,030,Nidorina,Nidorina,Nidorina,ニドリーナ,(Nidorīna),Nidorina
031,031,Nidoqueen,Nidoqueen,Nidoqueen,ニドクイン,(Nidokuin),Nidoqueen
032,032,Nidoran♂,Nidoran♂,Nidoran♂,ニドラン♂,Nidoran♂
033,033,Nidorino,Nidorino,Nidorino,ニドリーノ,(Nidorīno),Nidorino
034,034,Nidoking,Nidoking,Nidoking,ニドキング,(Nidokingu),Nidoking
035,035,Mélofée,Clefairy,Piepi,ピッピ,Pippi
036,036,Mélodelfe,Clefable,Pixi,ピクシー,(Pikushī),Pixy
037,037,Goupix,Vulpix,Vulpix,ロコン,Rokon
038,038,Feunard,Ninetales,Vulnona,キｭウコン,(Kyūkon),Kyukon
039,039,Rondoudou,Jigglypuff,Pummeluff,プリン,Purin
040,040,Grodoudou,Wigglytuff,Knuddeluff,プクリン,Pukurin
041,041,Nosferapti,Zubat,Zubat,ズバット,(Zubatto),Zubat
